UF,Estupro,Furto_de_veículo,Homicídio_doloso,Lesão_corporal_seguida_de_morte,Roubo_a_instituição_financeira,Roubo_de_carga,Roubo_de_veículo,Roubo_seguido_de_morte_(latrocínio),Tentativa_de_homicídio
Acre,1525,2769,1971,8,13,8,5118,88,725
Amapá,2451,4229,1817,117,66,43,2303,140,1507
Amazonas,5945,16137,7776,167,97,78,20753,445,1960
Bahia,20205,36069,37985,595,147,2304,89754,1103,17640
Ceará,11589,32146,24965,220,248,1244,62155,417,8863
Distrito Federal,4497,37503,3101,40,20,317,27072,227,5505
Espírito Santo,4803,31191,8249,96,170,547,28801,279,16871
Goiás,4512,65622,13850,274,300,2530,56441,513,14674
Maranhão,8633,18128,12726,182,422,312,27166,650,7265
Mato Grosso,11275,18533,6489,152,82,448,15554,302,8805
Mato Grosso do Sul,12012,24469,3430,58,68,5,5036,171,5255
Minas Gerais,9345,155933,22358,376,432,3420,62214,646,25924
Pará,22320,25670,21025,237,163,960,36882,1116,9866
Paraíba,2103,6349,8238,24,214,109,12325,199,2067
Paraná,37508,114903,11835,358,72,4920,55614,393,5219
Pernambuco,14317,36955,26382,173,270,3499,93266,934,23206
Piauí,4977,17164,4406,69,44,130,26235,298,4190
Rio Grande do Norte,1991,7262,9806,1100,161,109,40030,483,1302
Rio Grande do Sul,33060,103384,15034,211,379,2088,94072,735,22189
Rondônia,5354,18710,3135,22,135,25,12558,139,5342
Roraima,2111,5079,1294,54,15,3,3258,87,1002
Santa Catarina,8274,74025,5348,125,261,862,16768,289,10297
São Paulo,77678,660642,22140,446,516,58099,397243,1850,26040
Sergipe,3711,5759,6723,24,52,115,17119,260,3819
Tocantins,4388,11153,2490,43,93,41,5160,94,2801
Alagoas,4150,8425,9633,65,99,429,19366,278,3622
Rio de Janeiro,31696,108109,28052,297,525,53767,268705,1036,24390